SKU,UOM,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
8080194,Units,370,114,62,746,673,826,729,861,73,40,314,1166
8080376,Units,40,295,145,7,160,175,55,470,454,82,224,359
8080913,Units,98,33,106,88,151,184,112,146,141,59,151,138
8081457,Units,1,56,212,176,195,32,14,13,87,242,167,249
8081739,Units,28,54,49,116,86,1,39,156,138,34,113,119
8081747,Units,102,121,13,126,88,107,9,19,98,129,76,102
8081754,Units,80,166,22,155,151,172,15,106,127,132,71,15
8081762,Units,96,91,78,41,4,113,39,11,24,83,5,78
8081770,Units,47,1,127,132,52,76,117,114,20,11,44,142
8081788,Units,107,19,41,75,66,90,23,11,75,6,56,138
8081796,Units,15,26,35,34,25,31,32,24,7,32,34,36
8081812,Units,30,175,100,67,137,109,203,70,93,52,133,15
8081820,Units,182,107,44,99,16,94,39,165,100,30,171,88
8081838,Units,23,75,95,38,5,28,21,80,15,54,72,18
8081903,Units,15,31,16,62,49,25,4,47,26,61,51,35
8082299,Units,55,78,62,30,62,50,16,62,26,90,104,11
8082307,Units,80,67,4,68,74,101,54,44,93,29,22,16
8082315,Units,121,104,85,62,21,95,55,106,108,13,56,43
8082331,Units,16,11,43,28,40,33,12,13,44,9,9,7
8082356,Units,73,57,33,30,29,50,21,56,72,49,11,8
8082364,Units,98,58,136,65,127,49,21,25,97,60,71,117
8082372,Units,10,157,2,40,61,20,61,95,13,163,46,64
8082398,Units,71,38,2,43,72,45,74,23,56,78,60,11
8082406,Units,133,33,73,5,123,89,55,138,6,51,80,74
8082414,Units,24,29,78,6,49,39,55,22,70,82,29,40
8082422,Units,6,34,22,31,10,23,43,16,14,17,36,17
8082430,Units,1,69,21,33,72,69,83,36,71,50,40,13
8082448,Units,15,39,36,99,22,88,76,97,15,26,84,79
8082455,Units,83,36,65,71,47,2,73,83,65,47,10,47
8082463,Units,14,66,40,3,0,13,67,63,51,46,8,66
8082471,Units,62,448,89,465,421,506,15,223,468,394,508,134
8082489,Units,118,638,850,351,984,756,502,1397,794,1407,1355,16
8082497,Units,65,54,137,32,111,142,77,90,82,140,11,103
8082505,Units,1010,761,73,505,878,456,145,513,79,411,359,845
8082547,Units,0,0,0,0,0,0,0,0,0,0,0,0
8082554,Units,5733,5900,3970,921,293,1100,1426,1724,7014,174,478,3695
8082760,Units,8,2,4,5,0,5,11,5,10,3,8,3
8082927,Units,0,0,0,0,0,0,0,0,0,0,0,0
8083099,Units,0,0,0,0,0,0,0,0,0,0,0,0
8083115,Units,685,218,438,464,1206,397,415,1337,1021,78,1495,319
8083131,Units,0,0,0,0,0,0,0,0,0,0,0,0
8083230,Units,0,0,0,0,0,0,0,0,0,0,0,0
8084022,Units,0,0,0,0,0,0,0,0,0,0,0,0
8084048,Units,135,142,329,409,42,221,385,101,121,28,84,356
8084055,Units,222,206,452,161,242,581,507,281,547,409,322,586
8084063,Units,406,485,393,1407,1400,1492,529,181,838,323,1878,488
8084295,Units,236,274,293,109,116,241,184,148,198,228,19,170
8084311,Units,14,213,41,30,101,168,101,2,107,107,182,125
8084337,Units,162,29,187,45,92,259,301,194,312,209,74,324
8084444,Units,1,1,4,3,2,3,5,6,1,4,1,4
8084451,Units,0,0,0,0,0,0,0,0,0,0,0,0
8084477,Units,166,120,55,167,95,168,228,116,176,215,262,259
8084501,Units,3,3,1,0,2,2,3,0,4,4,3,3
8084519,Units,29,65,45,49,68,59,20,38,30,70,55,67
8084592,Units,0,0,0,0,0,0,0,0,0,0,0,0
8084725,Units,0,0,0,0,0,0,0,0,0,0,0,0
8084907,Units,967,480,1019,465,847,652,2019,753,684,1068,207,358
8084923,Units,250,144,542,254,58,425,255,572,9,530,10,22
8085185,Units,81,18,96,36,2,57,15,2,98,106,72,47
8085201,Units,10,47,110,27,90,62,78,77,107,153,142,118
8085219,Units,0,0,0,0,0,0,0,0,0,0,0,0
8085227,Units,0,0,0,0,0,0,0,0,0,0,0,0
8085243,Units,2,19,12,3,27,4,16,31,32,35,28,9
8085250,Units,3,5,3,2,3,4,6,6,1,5,3,2
8085268,Units,0,0,0,0,0,0,0,0,0,0,0,0
8085276,Units,243,650,70,360,142,251,450,3,336,263,186,759
8085284,Units,177,137,129,242,126,265,73,4,211,79,52,307
8085292,Units,366,261,199,556,102,101,462,491,244,281,176,70
8085300,Units,1141,462,1038,274,210,751,202,683,579,958,762,752
8085318,Units,820,9,60,603,841,4,494,730,411,901,821,717
8085326,Units,11,3,19,4,3,15,18,10,15,2,9,19
8085342,Units,181,175,987,659,1102,749,719,141,14,997,298,468
8085359,Units,360,63,49,13,197,311,231,192,92,255,315,153
8085367,Units,187,542,852,384,436,123,161,603,927,437,141,1054
8085391,Units,1115,2361,245,5980,2486,1882,2438,4911,3518,3256,1693,1774
8085417,Units,0,0,0,0,0,0,0,0,0,0,0,0
8085672,Units,3,1314,399,1200,806,1015,96,431,1270,414,1794,1733
8085698,Units,235,424,143,623,743,913,332,53,729,254,1022,760
8085706,Units,314,294,361,59,404,182,277,452,420,284,332,249
8085748,Units,323,28,189,533,515,230,549,492,216,47,229,440
8085755,Units,485,382,402,213,64,478,317,495,421,40,229,485
8085839,Units,221,150,67,22,191,136,276,145,89,28,291,69
8085847,Units,393,410,223,453,304,334,434,146,21,414,268,15
8086035,Units,0,0,0,0,0,0,0,0,0,0,0,0
8086258,Units,85,43,363,313,189,236,266,33,168,388,472,12
8086274,Units,535,481,267,597,157,330,38,246,587,366,605,408
8086290,Units,313,251,582,37,617,604,536,330,411,522,626,184
8086308,Units,823,273,218,233,358,170,404,858,274,827,608,380
8086407,Units,2268,867,2284,799,2476,3045,3301,667,827,127,2632,1993
8086530,Units,3120,3405,747,9996,6845,6035,10207,281,992,8369,10310,4961
8086548,Units,690,3989,3423,2673,1,2787,2376,3032,234,2969,4291,1488
8086563,Units,0,0,0,0,0,0,0,0,0,0,0,0
8086928,Units,0,0,0,0,0,0,0,0,0,0,0,0
8087157,Units,113,321,312,27,229,9,170,324,47,362,196,194
8087165,Units,31,182,220,332,284,242,142,48,354,305,305,316
8087181,Units,18,10,4,13,9,2,10,12,16,12,11,12
8087199,Units,0,10,16,6,3,0,17,10,5,11,18,1
8087215,Units,7,3,1,3,2,7,5,7,1,1,6,2
8087223,Units,1,0,1,0,0,0,1,1,1,1,0,0
8087280,Units,4,1,2,3,8,3,5,7,15,2,13,0
8087389,Units,0,0,0,0,0,0,0,0,0,0,0,0
8087397,Units,521,142,33,77,468,253,478,191,548,325,249,6
8087405,Units,270,418,388,431,304,267,45,1,479,535,223,293
8087413,Units,1269,811,735,859,569,348,14,1268,916,826,354,587
8087439,Units,0,0,0,0,0,0,0,0,0,0,0,0
8087447,Units,0,0,0,0,0,0,0,0,0,0,0,0
8087595,Units,400,859,110,79,510,974,892,1066,763,300,443,18
8087629,Units,140,209,224,202,189,124,198,60,29,48,22,250
8087694,Units,64,54,92,99,40,23,30,23,17,75,39,65
8087819,Units,11,8,10,8,8,12,6,14,10,13,3,3
8087827,Units,4,3,4,0,3,2,3,4,5,3,3,1
8088015,Units,878,400,562,581,542,852,550,783,124,188,709,426
8088031,Units,232,450,701,69,625,769,918,801,146,144,832,839
8088130,Units,0,0,0,0,0,0,0,0,0,0,0,0
8088205,Units,0,0,0,0,0,0,0,0,0,0,0,0
8088213,Units,0,0,0,0,0,0,0,0,0,0,0,0
8088247,Units,0,0,0,0,0,0,0,0,0,0,0,0
8088296,Units,9,6,2,1,11,3,8,6,7,1,3,1
8088346,Units,0,0,0,0,0,0,0,0,0,0,0,0
8088353,Units,21,20,4,23,3,25,11,17,12,22,38,14
8088379,Units,193,2677,1559,3208,3487,354,2310,1437,2864,762,1434,3177
8088411,Units,66,103,24,41,58,140,208,11,97,234,308,249
8088445,Units,23,107,54,116,45,112,85,15,112,53,114,12
8088452,Units,168,126,159,101,136,87,42,168,162,128,130,140
8088478,Units,0,0,0,0,0,0,0,0,0,0,0,0
8088494,Units,11,166,29,24,4,42,63,66,38,10,80,152
8088502,Units,1,0,0,0,0,0,0,1,1,1,0,0
8088510,Units,295,14,226,48,52,522,444,59,354,254,130,31
8088528,Units,406,329,260,417,51,327,264,398,524,268,308,204
8088536,Units,6,6,2,5,4,2,5,3,7,5,1,6
8088544,Units,22,5,1,37,34,23,11,5,16,12,32,35
8088569,Units,5,46,103,58,122,52,104,101,15,121,42,36
8088585,Units,138,244,303,29,413,306,135,400,434,365,115,40
8088593,Units,109,320,1926,2307,55,2229,1580,2340,1453,2227,1024,2041
8088619,Units,274,135,267,152,135,182,152,186,190,54,224,161
8088767,Units,1616,2146,1501,1339,1620,407,1498,2714,731,525,1479,1209
8088791,Units,1553,1499,2752,3224,2117,2049,2521,653,575,2453,2127,3032
8088932,Units,170,127,46,220,71,307,131,285,8,603,9,608
8089054,Units,1748,1080,571,304,869,450,1344,1504,1331,266,1180,846
8089146,Units,0,1,0,0,0,0,0,1,0,1,0,1
8089260,Units,1,1,0,0,1,1,1,0,1,0,1,0
8089351,Units,1078,408,1451,1239,300,1184,414,1841,1880,1774,1541,253
8089369,Units,1434,1745,1334,2907,2468,2854,2701,1044,2382,147,1847,1604
8089377,Units,3111,3396,1516,5438,1363,2438,504,300,1078,3750,3115,6067
8089419,Units,0,0,0,0,0,0,0,0,0,0,0,0
8089468,Units,28,33,17,27,29,24,7,0,18,6,30,12
8089591,Units,319,288,115,304,212,374,15,415,336,117,21,7
8089732,Units,3488,863,2984,1373,4869,4582,4917,3687,1619,3530,174,3978
8089781,Units,6,8,4,5,7,1,11,3,2,1,9,6
8089799,Units,5,3,1,4,4,3,2,2,6,1,6,2
8089807,Units,5,4,7,7,0,8,1,5,5,7,4,8
8089831,Units,333,242,548,530,34,238,553,277,57,43,562,5
8089997,Units,0,0,0,0,0,0,0,0,0,0,0,0
8090037,Units,0,0,0,0,0,0,0,0,0,0,0,0
8090110,Units,609,239,254,517,542,554,235,29,35,148,300,407
8090144,Units,397,707,0,513,625,780,559,689,38,188,366,248
8090151,Units,86,561,509,75,404,606,745,370,617,597,623,612
8090169,Units,700,1130,1383,268,367,740,1239,818,1363,554,678,1275
8090177,Units,438,283,439,205,248,96,77,312,249,319,265,47
8090185,Units,369,263,272,351,319,238,267,160,315,227,19,18
8090201,Units,189,289,414,81,445,48,230,67,95,22,240,107
8090219,Units,49,186,291,73,93,196,175,202,222,97,116,233
8090425,Units,474,586,650,84,892,59,339,164,627,697,508,413
8090433,Units,1089,2244,4111,3892,2190,1284,1371,465,4303,3268,150,2193
8090441,Units,471,456,605,393,48,598,704,606,653,611,653,193
8090458,Units,496,630,209,567,607,714,581,89,344,345,62,714
8090466,Units,1417,1223,2856,2066,271,2842,455,2093,2059,2769,2790,2308
8090482,Units,494,878,542,57,294,878,601,712,967,351,919,344
8090490,Units,298,372,212,175,577,410,548,388,258,594,222,13
8090508,Units,389,330,585,667,601,235,569,80,571,569,667,242
8090516,Units,766,621,936,257,532,354,922,680,884,73,152,145
8090524,Units,14,250,5,291,169,124,42,201,302,170,365,27
8090532,Units,14,634,47,429,561,438,768,512,455,686,727,582
8090771,Units,455,1767,1673,678,258,28,787,709,9,1808,376,850
8090797,Units,197,9,42,108,46,36,164,140,123,125,200,110
8090813,Units,1526,1567,1227,119,22,1173,1150,680,632,423,312,984
8090821,Units,412,929,1229,2,1046,489,420,413,1027,917,866,601
8090839,Units,243,307,100,98,177,347,51,400,920,66,805,260
8090847,Units,0,0,0,0,0,0,0,0,0,0,0,0
8090854,Units,130,258,389,889,327,793,1138,1187,84,655,1007,1073
8090862,Units,0,1,1,1,0,1,1,0,1,0,0,1
8090888,Units,0,0,0,0,0,0,0,0,0,0,0,0
8090896,Units,1753,108,2469,715,691,39,200,184,1476,273,2829,534
8091001,Units,197,332,231,101,30,95,167,289,5,304,7,332
8091019,Units,561,500,138,715,277,198,320,396,744,616,50,198
8091068,Units,0,0,0,0,0,0,0,0,0,0,0,0
8091142,Units,0,0,0,0,0,0,0,0,0,0,0,0
8091233,Units,840,1152,1290,261,21,1040,1568,1038,838,771,223,619
8091316,Units,448,394,46,5,246,22,54,123,291,538,395,590
8091704,Units,406,149,205,159,167,509,34,244,280,55,484,95
8091753,Units,9,31,19,26,16,7,35,14,16,28,36,10
8091779,Units,63,38,58,106,1,20,139,38,23,100,122,58
8091787,Units,0,0,0,0,0,0,0,0,0,0,0,0
8091902,Units,0,1000,148,6,961,130,934,200,234,134,608,437
8091944,Units,4,4,2,1,5,2,2,7,1,1,7,2
8091977,Units,2,2,0,0,1,1,1,0,0,1,2,1
8091993,Units,8,8,5,5,1,7,5,1,7,9,5,4
8092025,Units,373,99,64,18,59,300,142,277,112,150,130,124
8092033,Units,1,0,0,0,0,1,0,0,0,0,0,1
8092041,Units,120,8,139,27,46,130,185,16,75,24,175,164
8092058,Units,102,12,68,83,95,61,91,33,31,67,96,97
8092132,Units,0,0,0,0,0,0,0,0,0,0,0,0
8092140,Units,689,781,442,113,377,64,127,349,374,359,856,729
8092157,Units,0,0,0,0,0,0,0,0,0,0,0,0
8092173,Units,494,369,212,37,67,207,61,599,214,246,446,108
8092181,Units,47,57,228,235,136,108,53,169,66,308,22,224
8092199,Units,481,635,611,283,122,518,515,328,252,657,198,177
8092207,Units,1438,880,397,370,1025,1073,667,1091,1212,762,176,915
8092215,Units,251,150,621,113,665,231,288,133,186,178,615,507
8092223,Units,36,239,346,429,421,629,436,556,67,184,420,636
8092231,Units,42,528,515,354,270,492,307,399,156,319,35,342
8092249,Units,0,45,16,65,24,67,20,53,29,41,76,75
8092363,Units,4,38,6,30,10,8,23,36,0,18,10,12
8092439,Units,1,11,24,53,47,40,39,51,60,57,41,8
8092447,Units,15,31,87,27,5,26,27,3,77,14,13,2
8092454,Units,253,650,186,199,251,239,328,672,328,240,124,605
8092462,Units,53,13,64,34,5,83,21,76,44,43,59,88
8092488,Units,4,5,6,0,0,3,7,3,0,0,2,8
8092496,Units,298,36,184,285,118,323,83,442,494,490,516,134
8092512,Units,45,114,111,36,1,19,64,62,45,98,101,49
8092520,Units,65,46,5,106,51,64,41,75,2,35,19,17
8092538,Units,462,54,440,626,636,492,532,194,617,614,320,421
8092546,Units,5,4,5,4,3,3,3,1,5,3,6,1
8092553,Units,55,431,422,88,249,440,439,24,384,334,23,57
8092561,Units,111,388,503,433,374,371,431,257,526,21,509,258
8092579,Units,27,239,73,320,40,316,148,131,244,332,309,284
8092595,Units,902,745,525,1536,1214,145,1137,709,1204,659,1441,22
8092603,Units,134,129,303,44,23,38,185,299,86,309,257,34
8092611,Units,843,347,539,484,485,62,787,537,212,579,641,423
8092629,Units,90,407,376,179,305,439,59,104,266,130,687,25
8092637,Units,0,0,0,0,0,0,0,0,0,0,0,0
8092645,Units,167,766,387,640,626,457,464,516,395,579,486,522
8092652,Units,444,525,311,441,296,367,275,150,50,456,421,254
8092660,Units,31,398,128,253,277,416,301,22,487,25,415,351
8092694,Units,318,191,491,512,49,31,378,213,700,310,542,360
8092702,Units,1019,535,175,812,792,611,503,152,478,531,905,296
8092710,Units,145,233,259,612,634,54,107,437,134,294,109,518
8092728,Units,229,218,253,368,272,190,52,357,169,172,316,74
8092736,Units,16,242,360,371,377,388,397,163,335,356,166,223
8092744,Units,429,39,339,400,191,44,97,156,115,68,427,267
8092751,Units,0,0,0,0,0,0,0,0,0,0,0,0
8092769,Units,158,67,153,77,159,381,68,338,61,164,245,1
8092967,Units,0,0,0,0,0,0,0,0,0,0,0,0
8092975,Units,0,0,0,0,0,0,0,0,0,0,0,0
8092983,Units,13,127,89,38,105,107,110,73,10,107,7,59
8092991,Units,0,0,0,0,0,0,0,0,0,0,0,0
8093007,Units,124,82,146,197,146,29,169,107,134,40,153,174
8093023,Units,30,140,52,143,27,188,157,83,196,34,10,44
8093049,Units,0,0,0,0,0,0,0,0,0,0,0,0
8093056,Units,0,0,0,0,0,0,0,0,0,0,0,0
8093064,Units,0,0,0,0,0,0,0,0,0,0,0,0
8093072,Units,10,78,23,14,68,12,10,19,11,62,66,43
8093080,Units,0,0,0,0,0,0,0,0,0,0,0,0
8093106,Units,1,3,0,2,3,3,2,2,1,1,0,1
8093148,Units,109,0,11,55,82,68,110,77,86,43,79,95
8093239,Units,0,0,0,0,0,0,0,0,0,0,0,0
8093296,Units,10,40,27,35,8,24,8,20,49,28,47,35
8093338,Units,2,0,0,1,1,1,1,2,0,1,1,2
8093346,Units,1,2,0,1,1,0,1,0,0,1,0,0
8093601,Units,2001,2118,742,847,2416,488,245,976,1219,678,311,899
8093643,Units,1595,3644,2700,2407,41,1387,932,3730,737,3938,1913,1109
8093650,Units,1142,361,828,673,165,574,924,1220,200,541,551,664
8093742,Units,6,3,7,1,1,1,6,2,4,3,3,7
8093759,Units,0,1,1,2,3,3,2,1,2,0,0,3
8093767,Units,0,0,0,0,0,0,0,0,0,0,0,0
8093791,Units,0,0,0,1,1,0,0,1,0,1,1,0
8093809,Units,0,0,0,0,0,0,0,0,0,0,0,0
8093817,Units,233,621,136,218,566,194,584,167,337,669,589,305
8093841,Units,70,44,48,80,51,10,20,34,79,41,52,10
8093916,Units,81,26,32,41,8,29,90,97,60,18,9,102
8093924,Units,0,0,0,0,0,0,0,0,0,0,0,0
8093932,Units,9,5,10,5,3,6,10,3,5,1,9,11
8093940,Units,38,25,15,69,8,38,5,4,68,43,16,21
8094559,Units,1,4,1,5,4,5,1,1,5,3,4,4
8094567,Units,5,1,157,235,32,177,234,163,78,65,19,16
8094575,Units,3,2,4,3,3,1,2,0,2,3,2,1
8094591,Units,0,85,169,58,5,114,133,76,45,104,96,136
8094856,Units,0,0,0,0,0,0,0,0,0,0,0,0
8094872,Units,0,0,0,0,0,0,0,0,0,0,0,0
8094930,Units,11,6,4,1,13,7,16,9,12,13,7,1
8095028,Units,0,1,1,1,0,1,0,0,1,0,0,0
8095036,Units,413,442,249,646,306,209,542,32,668,529,104,120
8095044,Units,290,1141,493,863,412,707,643,1216,887,846,932,864
8095051,Units,46,337,265,330,316,34,207,225,27,258,133,461
8095069,Units,1020,1185,86,908,874,131,1222,1072,552,788,1134,835
8095077,Units,1106,686,959,922,548,451,1219,618,651,88,1316,549
8095085,Units,25,776,607,775,439,779,516,485,73,390,335,156
8095093,Units,21,14,163,189,182,411,260,69,451,233,333,32
8095101,Units,891,898,996,473,1064,252,1392,948,1372,619,10,877
8095119,Units,365,444,334,728,731,141,105,773,758,477,6,359
8095127,Units,1126,601,355,157,410,1030,533,512,1215,1076,193,589
8095135,Units,1039,241,1060,1156,283,110,0,709,132,775,789,157
8095143,Units,730,328,490,134,288,731,948,896,946,1018,342,338
8095150,Units,1216,1628,20,1036,677,172,37,392,128,912,1550,203
8095168,Units,518,1677,321,1904,269,378,380,1365,797,117,80,1488
8095176,Units,1131,961,841,879,1246,594,605,1044,520,730,427,49
8095234,Units,0,0,0,0,0,0,0,0,0,0,0,0
8095325,Units,84,46,61,5,20,99,90,83,38,91,14,67
8095333,Units,5,1,4,2,4,2,1,1,5,5,3,3
8095341,Units,6,6,6,5,5,5,6,4,5,0,2,7
8095507,Units,30,19,29,33,38,31,14,29,36,9,25,1
8095572,Units,0,1,1,1,0,0,1,1,1,0,0,0
8095580,Units,2,1,2,0,2,0,0,1,2,2,2,1
8095721,Units,0,0,0,0,0,0,0,0,0,0,0,0
8095879,Units,120,455,1356,1594,654,293,1857,397,1180,699,1872,399
8095887,Units,2459,1669,2413,1097,1908,3812,2610,1273,5396,6838,6264,72
8095911,Units,792,186,89,447,946,678,568,66,377,517,494,716
8095929,Units,1030,803,690,199,88,436,193,927,254,1133,192,569
8095937,Units,190,65,37,73,188,74,157,180,163,182,130,24
8095945,Units,491,493,300,364,600,489,726,79,280,464,120,310
8095952,Units,22,79,31,25,71,25,42,10,34,66,78,31
8095960,Units,1,2,2,3,2,0,1,2,1,1,0,1
8096000,Units,173,186,91,118,155,142,139,27,73,31,25,113
8096026,Units,0,0,0,0,0,0,0,0,0,0,0,0
8096489,Units,0,0,0,0,0,0,0,0,0,0,0,0
8096513,Units,0,0,0,0,0,0,0,0,0,0,0,0
8096588,Units,0,0,0,0,0,0,0,0,0,0,0,0
8096711,Units,75,97,90,102,19,43,102,21,6,50,54,60
8096737,Units,139,1126,710,1313,210,574,1098,607,905,27,464,435
8096745,Units,269,314,50,206,292,233,273,199,15,7,51,259
8096752,Units,0,0,0,0,0,0,0,0,0,0,0,0
8096760,Units,4201,5143,4096,3537,4196,1025,2472,4715,1596,599,3551,2568
8096786,Units,0,0,0,0,0,0,0,0,0,0,0,0
8096935,Units,364,63,722,831,547,75,693,970,1006,826,1172,1049
8096943,Units,3,547,134,92,151,571,398,167,526,280,570,191
8096950,Units,111,70,126,58,58,138,169,120,4,23,155,170
8096968,Units,62,200,152,135,150,177,17,159,28,72,119,138
8096976,Units,0,0,0,0,0,0,0,0,0,0,0,0
8096984,Units,105,297,375,22,134,226,238,269,351,155,44,116
8097008,Units,80,21,112,73,135,137,49,8,66,60,85,59
8097032,Units,260,21,137,185,155,134,8,133,20,249,64,233
8097099,Units,0,0,1,1,1,0,0,1,1,0,1,1
8097131,Units,0,0,0,0,0,0,0,0,0,0,0,0
8097297,Units,575,1271,472,36,19,448,772,1340,186,138,1237,1248
8097487,Units,0,0,0,0,0,0,0,0,0,0,0,0
8097503,Units,1,11,9,1,2,10,7,11,7,2,10,8
8097768,Units,0,0,0,0,0,0,0,0,0,0,0,0
8098030,Units,442,310,472,619,326,494,600,582,704,292,6,69
8098055,Units,303,166,574,36,336,564,624,564,76,528,190,244
8098154,Units,0,0,0,0,0,0,0,0,0,0,0,0
8098188,Units,0,0,0,0,0,0,0,0,0,0,0,0
8098196,Units,312,415,170,492,198,546,551,374,273,588,391,361
8098204,Units,7,68,89,12,37,75,89,0,16,95,5,74
8098212,Units,50,70,64,106,22,40,36,102,25,48,56,52
8098493,Units,0,0,1,2,1,1,0,1,1,1,0,2
8098626,Units,3,1,4,3,0,2,4,0,0,3,4,0
8098667,Units,0,1,0,1,2,2,1,1,1,1,0,1
8098675,Units,31,283,201,256,538,688,374,317,607,23,359,690
8098691,Units,25,284,632,442,240,595,51,303,189,583,643,488
8099053,Units,75,20,269,129,70,146,233,280,157,333,288,291
8099061,Units,1,0,1,0,0,0,0,1,1,0,1,1
8099079,Units,178,1,52,143,289,378,380,129,105,176,119,358
8099087,Units,17,112,57,109,51,75,67,52,67,20,65,39
8099095,Units,227,159,287,326,103,322,290,44,321,90,141,138
8099152,Units,10,6,8,2,4,1,3,5,9,6,2,1
8099160,Units,40,100,75,52,110,101,90,41,109,86,42,71
8099442,Units,947,102,1099,756,560,914,126,1043,1098,423,957,928
8099467,Units,0,0,0,0,0,0,0,0,0,0,0,0
8099525,Units,1,4,0,3,2,0,0,2,1,0,4,1
8099541,Units,73,118,111,114,57,143,203,136,61,12,100,225
8099558,Units,212,368,332,315,191,208,185,194,118,181,318,68
8099640,Units,4,9,6,6,5,1,1,11,13,6,7,6
8099673,Units,721,852,1413,372,1286,120,741,1213,180,849,86,1023
8099715,Units,1,2,2,1,1,3,1,0,3,0,3,2
8099731,Units,0,3,6,2,7,6,1,5,1,4,6,5
8099814,Units,0,0,0,0,0,0,0,0,0,0,0,0
8099822,Units,0,0,0,0,0,0,0,0,0,0,0,0
8099855,Units,0,0,0,0,0,0,0,0,0,0,0,0
8099889,Units,3,3,3,3,5,1,6,4,0,2,3,0
8099897,Units,0,0,0,0,0,0,0,0,0,0,0,0
8099905,Units,0,1,1,2,0,0,2,1,1,0,1,1
8100034,Units,0,0,0,0,0,0,0,0,0,0,0,0
8100117,Units,0,0,0,0,0,0,0,0,0,0,0,0
8100174,Units,0,0,0,0,0,0,0,0,0,0,0,0
8100273,Units,0,0,0,0,0,0,0,0,0,0,0,0
8100703,Units,7,5,4,2,3,10,5,3,7,2,6,9
8100737,Units,3,3,5,2,4,4,1,2,1,4,4,2
8101354,Units,18,54,31,13,53,49,40,39,20,64,30,9
8101396,Units,2,1,1,0,1,2,2,0,2,2,1,0
8101933,Units,1,0,2,0,2,1,1,1,1,3,1,2
8101974,Units,2,3,1,3,0,1,1,2,2,2,3,4
8102048,Units,358,131,1328,433,1021,1472,1840,1186,117,18,1574,1773
8102238,Units,0,0,0,0,0,0,0,0,0,0,0,0
8102568,Units,318,707,1085,470,851,766,32,901,693,906,549,717
8102949,Units,183,360,2506,2047,485,2094,954,2065,2407,807,1433,456
8103178,Units,423,143,246,352,332,442,354,153,96,38,135,385
8103228,Units,2,3,3,3,3,1,1,1,0,4,2,2
8103285,Units,1,0,0,1,0,1,0,1,0,1,1,1
8103442,Units,7,10,1,3,11,3,9,9,1,2,0,4
8103491,Units,44,33,78,51,58,8,46,70,47,74,66,12
8103566,Units,99,156,97,375,263,14,346,270,69,134,56,18
8103574,Units,227,264,117,151,309,308,270,11,69,1,254,296
8103582,Units,0,0,0,0,0,0,0,0,0,0,0,0
8103590,Units,693,321,689,181,342,81,817,137,737,809,1012,118
8103608,Units,882,1857,1220,719,459,1264,1162,52,1206,669,1760,573
8103624,Units,207,198,88,335,100,141,13,82,49,396,331,347
8103863,Units,0,0,1,1,0,1,1,0,0,0,1,1
8103921,Units,0,0,0,0,0,0,0,0,0,0,0,0
8103939,Units,0,0,0,0,0,0,0,0,0,0,0,0
8103947,Units,73,88,531,525,4,338,329,328,61,160,149,133
8103988,Units,2072,2153,616,1302,1680,186,1961,1566,266,1124,401,2143
8104028,Units,659,345,89,293,8,561,163,112,284,632,333,535
8104036,Units,121,6,92,89,111,54,74,16,163,78,108,126
8104077,Units,0,0,0,0,0,0,0,0,0,0,0,0
8104119,Units,202,356,223,225,104,27,320,231,29,138,185,246
8104127,Units,171,331,85,139,268,210,65,145,124,261,321,287
8104135,Units,408,13,734,422,354,570,1049,666,566,816,731,1064
8104184,Units,1188,1506,808,289,1318,163,1042,877,1485,307,870,104
8104218,Units,987,812,2143,69,335,1241,2024,631,2241,1990,2283,1267
8104226,Units,933,18,785,1490,907,273,1081,10,482,1411,456,11
8104259,Units,220,46,1358,276,1223,677,994,794,1605,1174,931,1627
8104283,Units,223,182,32,67,150,113,181,31,96,217,2,165
8104358,Units,0,0,0,0,0,0,0,0,0,0,0,0
8104408,Units,1333,700,2106,221,1072,1106,1079,1693,368,2040,1265,2446
8104416,Units,1304,1323,1549,381,820,1660,501,479,1663,1060,1153,423
8104424,Units,534,462,147,974,670,589,347,558,235,184,64,263
8104663,Units,1731,1000,2080,757,2106,2052,376,29,276,344,1759,1614
8104705,Units,5,3,4,2,6,1,0,6,7,5,6,5
8104796,Units,0,0,0,0,0,0,0,0,0,0,0,0
8104903,Units,173,159,87,239,209,276,15,332,224,127,137,1
8104911,Units,4,48,41,10,35,49,30,47,30,34,2,39
8104929,Units,0,0,0,0,0,0,0,0,0,0,0,0
8104945,Units,36,1,13,53,95,89,78,10,95,42,41,126
8104952,Units,70,41,91,40,78,49,117,106,17,107,25,7
8104960,Units,64,69,96,51,125,148,320,205,229,61,158,299
8104978,Units,14,109,83,152,154,46,126,15,67,17,164,101
8105033,Units,943,2086,676,661,391,100,2074,664,1278,1822,1311,484
8105041,Units,18,17,84,74,81,57,89,40,6,135,87,103
8105058,Units,43,90,93,120,59,57,107,45,131,132,87,33
8105223,Units,23,6,1011,807,120,365,649,313,497,880,840,823
8105256,Units,13,62,133,21,61,0,75,144,85,120,34,127
8105272,Units,57,159,85,133,93,13,126,152,140,31,58,6
8105470,Units,31,154,56,234,291,497,649,222,976,479,825,588
8105496,Units,137,206,240,234,87,12,227,259,190,155,71,205
8105520,Units,525,8,525,200,190,647,953,535,971,461,1313,1414
8105538,Units,3,2,3,0,4,2,8,6,5,0,2,2
8105579,Units,0,0,0,0,0,0,0,0,0,0,0,0
